	[C](normalized)	[CCML](normalized)	[Ca](normalized)	[CWP](normalized)	[N](normalized)	[NCML](normalized)
hsa_circ_0082654	0	0.663747764	0.549000403	0.487322856	2.658751561	0.485919059
hsa_circ_0082586	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082415	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082413	2.321928095	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082398	2	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0082307	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082306	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082250	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082242	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082096	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0082058	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0082056	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0082002	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081990	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081982	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081980	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081956	0	0.663747764	0.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0081906	0	0.663747764	0.549000403	0.487322856	2.658751561	0.485919059
hsa_circ_0081892	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081873	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0081851	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0081844	0	3.471102686	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081820	0	2.248710265	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081797	1	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0081751	2.321928095	3.471102686	3.718925404	1.487322856	2.243714061	2.485919059
hsa_circ_0081749	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081710	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081651	1.584962501	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0081607	0	0.663747764	4.356355325	0.487322856	0.658751561	0.485919059
hsa_circ_0081534	0	3.471102686	2.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0081467	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081423	0	0.663747764	0.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0081386	0	0.663747764	0.549000403	2.072285357	0.658751561	0.485919059
hsa_circ_0081367	0	0.663747764	0.549000403	0.487322856	0.658751561	2.070881559
hsa_circ_0081311	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081288	1	0.663747764	0.549000403	2.487322856	0.658751561	0.485919059
hsa_circ_0081188	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0081006	1.584962501	0.663747764	1.549000403	1.487322856	0.658751561	0.485919059
hsa_circ_0080981	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080973	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080909	0	0.663747764	3.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0080847	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080844	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080835	3.169925001	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080831	0	0.663747764	3.718925404	0.487322856	0.658751561	0.485919059
hsa_circ_0080826	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0080813	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080812	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080629	0	0.663747764	2.870928498	0.487322856	0.658751561	0.485919059
hsa_circ_0080628	0	0.663747764	2.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080624	0	0.663747764	0.549000403	0.487322856	0.658751561	2.070881559
hsa_circ_0080602	0	0.663747764	2.133962904	0.487322856	3.828676562	0.485919059
hsa_circ_0080582	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080543	3	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080442	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080372	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080358	1	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080343	1.584962501	0.663747764	0.549000403	0.487322856	3.658751561	0.485919059
hsa_circ_0080342	2	2.985675859	1.549000403	0.487322856	0.658751561	2.070881559
hsa_circ_0080340	1.584962501	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080317	0	2.248710265	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080285	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080250	1	0.663747764	0.549000403	0.487322856	4.359191279	0.485919059
hsa_circ_0080168	2	0.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0080059	0	0.663747764	2.133962904	0.487322856	0.658751561	0.485919059
hsa_circ_0080055	0	2.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079947	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079929	1.584962501	3.248710265	2.870928498	1.487322856	0.658751561	0.485919059
hsa_circ_0079883	0	1.663747764	0.549000403	0.487322856	0.658751561	0.485919059
hsa_circ_0079876	0	0.663747764	1.549000403	0.487322856	0.658751561	0.485919059
